1,01,67
1,02,50
1,03,62
1,07,91
1,28,81
1,29,96
1,53,92
10,04,69
10,16,74
10,19,91
10,37,85
10,39,97
100,09,78
100,14,96
100,24,68
100,28,72
100,48,82
11,03,85
11,37,95
11,46,71
11,47,66
11,53,96
12,08,99
12,14,69
12,33,89
12,48,70
12,54,79
13,02,100
13,22,83
13,32,76
13,37,83
13,56,72
14,21,65
14,31,74
14,32,96
14,35,62
14,42,89
15,02,67
15,03,70
15,08,87
15,31,63
15,50,83
16,04,61
16,08,70
16,22,83
16,24,90
16,47,66
17,21,68
17,34,94
17,37,99
17,43,67
17,54,61
18,02,95
18,15,94
18,23,79
18,36,73
18,40,86
19,14,73
19,25,91
19,44,62
19,48,98
19,50,99
2,02,30
2,31,93
2,34,80
2,46,68
2,49,83
2,52,98
20,13,97
20,22,72
20,25,79
20,34,90
21,04,74
21,08,83
21,09,84
21,11,61
21,33,100
22,12,98
22,14,88
22,17,60
22,27,64
22,43,64
23,02,62
23,08,90
23,14,85
23,28,94
23,39,82
24,36,72
24,39,81
24,45,86
24,47,98
24,50,92
25,12,65
25,28,73
25,35,94
25,45,65
25,50,97
26,09,83
26,24,66
27,08,79
27,13,65
27,25,84
27,40,75
27,52,98
28,01,76
28,03,65
28,11,99
28,54,61
28,56,92
29,12,96
29,22,79
29,41,90
29,45,90
3,01,4
3,02,89
3,03,60
3,07,89
3,11,73
3,50,67
3,55,62
30,07,74
30,09,95
30,12,89
30,16,62
30,26,65
31,07,83
31,19,76
31,20,73
31,23,83
31,26,65
32,12,92
32,31,84
32,48,79
32,54,72
33,21,93
33,32,85
33,35,94
33,37,64
34,03,91
34,18,98
34,23,95
34,28,98
35,23,78
35,25,86
35,33,98
35,45,82
35,52,61
36,03,93
36,05,94
36,11,67
36,42,77
36,52,66
37,20,78
37,23,77
37,28,99
37,37,74
37,46,94
38,08,95
38,18,86
38,23,92
38,42,93
38,51,70
39,20,88
39,21,89
39,45,85
39,50,65
39,51,71
4,01,80
4,02,68
4,12,80
4,17,98
4,24,87
4,46,66
40,29,97
40,31,75
40,42,88
40,43,93
40,46,86
41,13,90
41,19,92
41,36,61
41,54,87
42,18,80
42,37,64
42,45,62
42,53,94
43,07,85
43,12,76
43,35,78
43,40,85
43,43,97
44,15,99
44,18,98
44,23,98
44,29,63
44,38,68
45,02,81
45,15,77
45,19,66
45,27,96
45,57,95
46,16,65
46,33,97
46,55,95
46,56,99
47,06,93
47,11,94
47,16,66
47,50,67
47,52,69
48,01,87
48,02,99
48,04,74
48,21,84
49,09,63
49,16,88
49,28,89
49,30,97
49,42,66
5,01,97
5,03,61
5,04,68
5,10,63
5,17,66
5,55,67
50,02,87
50,05,82
50,35,73
